PROTOCOL,NUM_EXPERTS,NUM_ROUNDS,PROP,GAS_EXPERT,GAS_MANAGER,HARD_ACC,HARD_REPT,SOFT_ACC,SOFT_REPT
SLUSH,15,8,40,86.393,1999387.5,91.194,91.495,91.914,92.23
SLUSH,13,14,0,87.215,1887492.4,92.586,92.571,93.159,93.149
SLUSH,11,11,60,87.909,1539880.6,86.754,91.51,90.51,91.578
SLUSH,9,5,40,89.078,1247597.2,92.02,92.676,92.564,93.03
SLUSH,7,8,40,88.9,1037626.5,92.031,92.466,92.892,93.131
SLUSH,11,14,0,87.2,1664761.5,92.726,92.706,93.285,93.234
SLUSH,9,14,80,89.278,1253924.3,22.231,88.735,87.358,89.48
SLUSH,15,5,40,86.78,1943446.9,91.477,91.603,92.14,92.484
SLUSH,7,14,0,89.357,1111562.2,93.695,93.66,94.11,94.033
SLUSH,7,11,60,88.943,1029352.4,89.151,92.676,91.746,92.554
SLUSH,5,11,40,90.28,789400.3,91.971,92.854,93.121,93.326
SLUSH,9,11,0,88.967,1339446.2,93.396,93.371,93.875,93.848
SLUSH,11,14,80,87.9,1520882.6,18.996,89.315,81.441,90.328
SLUSH,7,5,60,89.086,994649.8,86.371,92.167,91.405,92.029
SLUSH,13,14,80,87.623,1733728.6,38.9,89.846,85.341,89.252
SLUSH,9,8,60,88.778,1278134.1,89.817,92.032,91.543,92.554
SLUSH,13,11,40,87.515,1827858.2,91.724,91.878,92.102,92.341
SLUSH,7,8,60,89.043,1024047,82.701,91.641,90.724,91.48
SLUSH,11,11,0,88.064,1611907.2,92.653,92.617,93.267,93.144
SLUSH,11,5,60,87.7,1450444.5,85.245,91.091,90.085,91.401
SLUSH,5,8,80,90.02,758871.6,5.53,89.669,78.95,89.512
SLUSH,11,8,20,87.736,1561308,92.695,92.709,93.121,93.03
SLUSH,11,14,20,88.164,1627164.3,92.529,92.613,92.97,92.95
SLUSH,7,11,80,89.057,997458.2,1.701,88.974,77.454,88.766
SLUSH,9,5,0,88.8,1260243.2,93.394,93.349,94.03,94.001
SLUSH,7,11,40,88.714,1047592.3,91.71,92.579,92.719,93.013
SLUSH,9,8,0,89.156,1302779.4,93.358,93.344,93.93,93.981
SLUSH,13,11,0,87.754,1852934,92.601,92.543,93.185,93.106
SLUSH,11,11,80,88.427,1570701.6,9.83,87.555,79.954,89.086
SLUSH,11,8,0,87.409,1551537.3,92.716,92.599,93.233,93.219
SLUSH,5,14,20,90,824022.1,93.898,94.26,94.312,94.272
SLUSH,5,8,20,90.44,790914.9,93.798,93.578,94.035,93.98
SLUSH,15,8,60,86.893,1946602.4,89.082,91.041,89.849,91.076
SLUSH,5,14,80,90.1,768362,5.566,90.109,78.141,90.032
SLUSH,5,11,60,90.08,778481.8,72.636,91.185,91.598,92.382
SLUSH,5,5,60,90,764703.8,72.604,89.941,91.238,92.091
SLUSH,9,11,60,88.856,1277887.4,89.246,92.25,91.94,92.721
SLUSH,7,14,40,88.857,1086253.2,92.544,92.896,93.016,93.345
SLUSH,9,14,40,88.967,1304856.7,91.788,92.513,92.545,92.939
SLUSH,5,8,0,90.14,798314.5,94.134,93.889,94.771,94.634
SLUSH,15,5,60,87.12,1921085.3,89.573,91.081,90.536,91.564
SLUSH,11,11,20,88.164,1583757.3,92.543,92.571,92.974,92.926
SLUSH,13,8,40,87.738,1780932.3,91.735,91.864,92.463,92.635
SLUSH,13,11,60,87.508,1768567.8,88.425,91.741,90.975,91.872
SLUSH,13,5,80,87.562,1674168.4,37.666,89.675,86.361,89.446
SLUSH,7,11,0,88.929,1086823.5,93.65,93.51,94.094,93.989
SLUSH,5,5,80,89.94,742589.8,1.818,90.3,83.678,90.13
SLUSH,11,5,20,88.209,1501272.6,92.547,92.556,93.196,93.257
SLUSH,9,14,60,88.778,1285483.2,90.42,92.545,92.191,92.804
SLUSH,11,11,40,87.791,1556038,91.891,92.165,92.341,92.489
SLUSH,11,14,60,88.064,1526898.7,82.909,91.103,89.631,91.501
SLUSH,13,14,40,87.277,1836851.7,91.929,92.131,92.429,92.671
SLUSH,7,14,20,88.629,1088075.1,93.411,93.405,93.76,93.831
SLUSH,5,5,0,89.96,773843.4,94.091,93.881,94.856,94.809
SLUSH,13,5,0,87.231,1751986.1,92.497,92.457,93.109,92.996
SLUSH,15,5,0,87,1984231.1,92.013,91.934,92.776,92.719
SLUSH,9,5,20,88.967,1256857.1,93.172,93.125,93.507,93.672
SLUSH,9,14,0,89.167,1392323.5,93.484,93.41,94.034,93.96
SLUSH,13,5,60,86.946,1680252,87.829,91.046,90.43,91.597
SLUSH,15,14,20,87.067,2158908.3,91.841,91.986,92.547,92.559
SLUSH,7,8,0,88.786,1048264.5,93.614,93.421,93.994,93.963
SLUSH,15,8,0,86.947,2019682.5,91.964,91.946,92.846,92.8
